[Weighted_graph]
50 73
1 1
2 2
3 3
4 4
5 5
6 6
7 7
8 8
9 9
10 10
11 11
12 12
13 13
14 14
15 15
16 16
17 17
18 18
19 19
20 20
21 21
22 22
23 23
24 24
25 25
26 26
27 27
28 28
29 29
30 30
31 31
32 32
33 33
34 34
35 35
36 36
37 37
38 38
39 39
40 40
41 41
42 42
43 43
44 44
45 45
46 46
47 47
48 48
49 49
50 50
37 11 52
1 49 22
25 25 10
6 13 4
31 48 29
10 24 22
43 48 94
24 46 86
18 31 69
26 29 47
38 33 72
37 8 60
11 18 13
25 25 87
24 6 42
47 30 74
46 24 84
43 13 76
23 34 51
3 33 21
38 5 96
45 18 35
14 31 71
40 18 33
47 12 57
27 37 33
2 21 81
14 49 27
49 2 69
31 23 94
38 19 98
5 5 35
35 28 31
4 14 45
15 23 84
1 6 31
23 38 59
23 17 10
25 36 76
47 32 24
16 31 55
22 16 92
1 48 48
14 45 32
37 31 35
42 14 51
29 23 4
47 36 76
33 12 1
16 38 25
46 45 21
14 39 38
13 37 59
7 21 12
39 8 25
3 10 61
27 14 5
12 42 85
25 43 82
15 20 16
9 42 81
50 30 29
36 42 94
9 4 56
16 29 64
27 43 2
42 48 6
36 33 83
30 17 46
50 33 21
41 15 35
22 46 95
13 40 94
